2019-09-07 20:45:19.672 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1257 ms
2019-09-07 20:45:20.092 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-09-07 20:45:20.133 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-09-07 20:45:20.182 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
2019-09-07 20:45:20.183 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2019-09-07 20:45:20.282 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-09-07 20:45:20.395 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2019-09-07 20:45:20.666 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.boot.integration.model.User (class must be instantiated by Interceptor)
2019-09-07 20:45:20.885 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-09-07 20:45:21.284 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-09-07 20:45:21.732 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-09-07 20:45:21.764 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-09-07 20:45:21.767 [main] INFO  com.boot.integration.BootIntegrationApplication - Started BootIntegrationApplication in 23.777 seconds (JVM running for 29.336)
2019-09-07 20:47:16.121 [Thread-50] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-09-07 20:47:16.129 [Thread-50] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-09-07 20:47:16.141 [Thread-50] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2019-09-07 20:47:16.165 [Thread-50] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
